Oid;SyncId;Code;BatchNum;Label1;Label2;Item;Offset;UseNegativeStock;ManufactureDate;ExpirationDate;Date2;MaxFU;PurchaseFreeItem;PurchasePrice;SalesPrice;VAT;SalesPriceVAT;WholesalerPrice;PublicPrice;Margin;SHP;WholesalerMargin;PharmacyMargin;Category1;Category2;Category3;Category4;Category5;Status;Brand;Conditioning;Packing;Remark;VWAP;PhysicalQuantity;LogicalQuantity;DamagedQuantity;ArrivedQuantity;ReservedQuantity;DraftQuantity;Blocked;BlockedBy;BlockedDate;Locked;LockedBy;LockedDate;CreationDate;CreatedBy;LastModificationDate;ModifiedBy;OptimisticLockField;LabPurchasePrice;LabMargin;Remark1;Location;Usn;InventoryDate;BlockingReason;IsImmobilization;TangibleAssetState;BlockedReservationQuantity;CrudePurchasePrice;Affection;TangibleAssetThirdParty;InvoiceQuantity;MargeGros;ToSynchronize;Length;Width;Thikness;Volume;Weight;AffectationLabel;AffectationCategory
791;97df9896-d6b6-4831-84af-fae3daef9e85;RAL7040MATT ;;;;802;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;900.00000000;;20;;;;;0;;;;;;2026-09-09 10:57:21.225;FAHIM;;;2;;;;;;;;f;;;;;;;;;;;;;;;
792;8686c47a-408a-40ad-8540-09adff56abb1;;;;;803;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;24.06000000;;914;;;;;0;;;;;;2026-09-09 12:29:12.027;FAHIM;;;1;;;;;;;;f;;;;;;;;;;;;;;;
30;69bf5a0c-5d18-4a6c-8980-85d20a5fd107;;-;;;30;;;;;;0;;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.00000000000000000000;0.0000;0.0000;0.00000000000000000000;1;;;;;2;;1.00000000;;;815.41050000;;492.289;;;;;0;;;;;;2024-01-06 14:19:35;;2025-08-28 17:02:24;;643;;;;2;;;;;;;;;;;;;;;;;;;
386;14a2b536-0b2e-4940-bf18-4ff4b71695aa;000166;-;;;397;;;;;2025-08-03 14:03:13;0;;0.0000;0.0000;3;0.0000;0.0000;0.0000;0.00000000000000000000;0.0000;0.0000;0.00000000000000000000;;;;;;;;1.00000000;;;1653.66000000;;0;;;;;0;;;;;;2025-08-03 14:03:13;;2025-08-03 14:03:13;;;;;;;;;;;;;;;;;;;;;;;;;
661;96c44d75-ed3f-4d01-a2f5-9e6cdaee2b3e;;;;;672;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;2026-06-01 10:33:31.344;MASSY;;;;;;;;;;;f;;;;;;;;;;;;;;;
478;8f3da371-a581-48eb-81ce-0138add44ce2;;;;;489;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;2025-10-29 13:29:49.189;admin;;;;;;;;;;;f;;;;;;;;;;;;;;;
587;35d610e1-634d-4ae2-a54c-1cc6abe0499a;;;;;598;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;2026-02-28 12:26:05.089;MASSY;;;;;;;;;;;f;;;;;;;;;;;;;;;
720;4af98048-f343-42b2-b3b2-16f835fc9e0c;;;;;731;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;2026-07-16 09:38:56.302;FAHIM;;;;;;;;;;;f;;;;;;;;;;;;;;;
715;0223a308-199b-4b89-995b-760e82c8c930;;;;;726;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;2026-07-15 12:14:29.431;FAHIM;;;;;;;;;;;f;;;;;;;;;;;;;;;
630;b8a14436-9069-46a7-9e70-df5842c6b987;;;;;641;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;2026-04-26 09:29:37.081;FAHIM;;;;;;;;;;;f;;;;;;;;;;;;;;;
