Oid;SyncId;Code;Label1;Label2;Item;CreationDate;CreatedBy;LastModificationDate;ModifiedBy;Blocked;BlockedBy;BlockedDate;OptimisticLockField;MaxOptions;TotalQuantity;TotalVWAP;Validate;Type;ProductionTimeOfUnit;ProductionCostPerUnit;WarehouseProd;WarehouseStore;WarehouseDest;CostCalcMethod;BlockedFormula;TypeFormule;Changeable;BatchSubstitution;MethodOfValuation;Price;ResponsibilityCenter;IsQuarantineWarehouse;VisibleEverywherer;PML;DoNotLoadComponentPrice
349;;ECO ASS;Formule pour le produit  ECO ASSAMBLAGE;;349;2025-01-10 21:03:22;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
34;;RFR160;Formule pour le produit  RENFORT ECO MAXI 160;;34;2024-01-06 14:19:35;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
40;;CJP0128;Formule pour le produit  CACHES JUPES P/PLAT S 160;;40;2024-01-06 14:19:36;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
41;;CJP0068;Formule pour le produit  CACHES JUPES P/PLAT  100;;41;2024-01-06 14:19:36;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
42;;CJP0108;Formule pour le produit  CACHES JUPES P/PLAT S 140;;42;2024-01-06 14:19:36;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
43;;CJTW098;Formule pour le produit  CACHES JUPES TWIZI 120/140;;43;2024-01-06 14:19:37;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
44;;CJTW1600;Formule pour le produit  CACHES JUPES TWIZI 160;;44;2024-01-06 14:19:37;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
46;;CJP0148;Formule pour le produit  CACHES JUPES P/PLAT S 180;;46;2024-01-06 14:19:37;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
47;;IMP007;Formule pour le produit  CHAISE IMPERIAL TRIPLETTE LUXE SKY EPOXY ;;47;2024-01-06 14:19:37;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
49;;IMP005;Formule pour le produit  CHAISE IMPERIAL TRIPLETTE LUXE TISSU EPOXY ;;49;2024-01-06 14:19:37;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
52;;IMP001;Formule pour le produit  CHAISE IMPERIAL LUXE TISSU EPOXY ;;52;2024-01-06 14:19:38;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
54;;P38120;"Formule pour le produit  PIED METAL TRAPEZ     M 70 120/140
";;54;2024-01-06 14:19:38;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
55;;CJPG160;Formule pour le produit  CACHE JUPE GAMER   160;;55;2024-01-06 14:19:38;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
56;;P35000;Formule pour le produit  PIED METAL MAXI   M60;;56;2024-01-06 14:19:38;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
57;;P40B60;Formule pour le produit  PIED METAL TABLE BASSE  MEGA  Z;;57;2024-01-06 14:19:38;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
59;;P39075;Formule pour le produit  PIED METAL ECO SLIM      M75;;59;2024-01-06 14:19:39;Admin;;;;;;0;;;;t;;;;;;;;;;;;;;;;;;
