Oid;SyncId;Code;Barcode;Reference;Label1;Label2;Label3;Type;VAT;URL;IsBatchManaged;IsPerishable;IsDirectDistributed;DefaultBatchStatus;Family;Category1;Category2;Category3;Category4;Category5;AccountingCode;SearchField;Image;Brand;Medecine;Remark;Note;PriceListScaleType;VWAP;VWAPphysical;VWAPinvoice;LPP;Quantity;QuantityMin;QuantityMin2;QuantityMax;QuantityMax2;TariffType;MaxFU;MinPP;MaxPP;MinSP;MaxSP;IsBOM;ManagedBySerialNumber;ManagedByQuota;Equivalence;Conditioning;DefaultPacking;PurchasePacking;SalesPacking;UnitPacking;IsOutOfService;UseNegativeStock;IsSalesOnState;IsUnderCommission;IsInterpretedCode;IsEditablePrice;IsUnitManaged;IsOutputControlled;IsPrintable;UnitValue;UnitWeight;IsRawMaterial;PhysicalQuantity;LogicalQuantity;DamagedQuantity;ArrivedQuantity;ReservedQuantity;DraftQuantity;Blocked;BlockedBy;BlockedDate;UnitOfMeasure;Locked;LockedBy;LockedDate;CreationDate;CreatedBy;LastModificationDate;ModifiedBy;OptimisticLockField;PromotionIn;ResultInPromotion;MedicineCode;IsExcluded;Coefficient1;Coefficient2;Usn;IsDecomposableOnly;IsComposableOnly;IsCamsspRefundable;ExpirationDays;DeadStockDays;Location;Width;Height;Length;Thickness;VisibleInVirtualMarket;BlockingReason;IsForLease;Surface;IsImmobilization;IsMostUsed;BlockedReservationQuantity;DefaultInterpretedCode;DefaultFormula;SHP;InvoiceQuantity;IsTactileSelling;PromotionDiscount;StartOfPromotion;EndOfPromotion;IsLoyalty;LoyaltyRatio;IsSemiFinished;StockAccount;ProductionAccount;ConsumptionAccount;ToSynchronize;Pattern;IsSparePart;MarginItem;PerRangeFrom;PerRangeTo;Equivalents;PackingCodes;IsSent;DimensionType
359;c4acf859-b038-4647-b8cb-ac103c84ac43;P34R00;;R;PIED METAL ECO RENFORT M 60;;;0;3;;f;f;f;2;13;;1;;;;;PIED METAL ECO RENFORT M 60;;;;;;;1738.01370000;0.00000000;0.00000000;4000.00000000;0;0;0;300;0;0;0;0.00000000;0.00000000;0.00000000;0.00000000;t;f;f;00000000-0000-0000-0000-000000000000;0.00000000;295;;;;f;f;f;f;f;f;f;f;f;0;0;f;0;164;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:34.062993;FAHIM;391;;;;f;0.00000000;0.00000000;0;f;t;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;359;0.00000000;-247;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;359;"";f;0
405;e8207191-6f54-4151-82e2-5f0b582e6a36;P41180;;180;STRUCTURE METALIQUE  Z ONE 180;;;0;3;;f;f;f;2;14;;;;;;;;;;;;;;3112.25000000;0.00000000;0.00000000;0.00000000;0;0;0;0;0;0;0;0.00000000;0.00000000;0.00000000;0.00000000;t;f;f;00000000-0000-0000-0000-000000000000;0.00000000;332;;;;t;f;f;f;f;f;f;f;f;0;0;f;0;0;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:33.566914;FAHIM;291;;;;f;0.00000000;0.00000000;0;f;t;f;0;0;;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;-2;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;;;f;0
681;53f52a16-e512-4f69-ab9a-17e1a6b6f876;000550;;;RIVET 5*30*16;;p_Lot is null;0;1;;f;f;f;;2;;;;;;;RIVET 5*30*16;;;;;;;890.90910000;0.00000000;0.00000000;1500.00000000;0;0;0;0;0;0;;;;;;f;f;f;00000000-0000-0000-0000-000000000000;0.00000000;603;;;603;f;f;f;f;f;f;f;f;f;0;0;f;0;11;0;0;0;0;0;;;;f;;;2026-06-07 10:31:33.156666;OULAID-B;;;88;;;;f;0.00000000;0.00000000;0;f;f;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;, ;"";f;0
330;3ea19b6a-58df-4592-ad46-272cf1455d74;SCL0014;;;SOCLE  CHAISE IMPERIAL EPOXY;;;0;3;;f;f;f;2;1;4;1;;;;;fa;;;;;;;496.89450000;0.00000000;0.00000000;0.00000000;0;0;0;2000;0;0;0;0.00000000;0.00000000;1900.00000000;2900.00000000;t;f;f;00000000-0000-0000-0000-000000000000;0.00000000;266;;;;f;f;f;f;f;f;f;f;f;0;0;f;0;281;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:34.429452;FAHIM;452;;;;f;0.00000000;0.00000000;0;f;t;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;;;f;0
25;b3e0c611-6a7b-41b6-b5af-7124f0853c39;EMBOV3018;;;EMBOUT OVAL 30/18;;;0;3;;f;f;f;2;2;2;1;;;;;;;;;;;;2.00080000;0.00000000;0.00000000;2.00000000;8445;0;0;0;0;0;0;0.00000000;0.00000000;0.00000000;0.00000000;f;f;f;00000000-0000-0000-0000-000000000000;0.00000000;22;;;;f;f;f;f;f;f;f;f;f;0;0;t;0;20206;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:37.566239;FAHIM;321;;;;f;0.00000000;0.00000000;0;f;f;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;;;f;0
213;51382d9a-e67d-4a7b-b4e7-6dcbc1dbbf89;FRP40300;;;FER PLAT 40 X 3 ;;;0;1;;f;f;f;2;2;;1;;;;;;;;;;;;613.44540000;0.00000000;0.00000000;613.44537815;0;0;0;0;0;0;0;0.00000000;0.00000000;0.00000000;0.00000000;f;f;f;00000000-0000-0000-0000-000000000000;0.00000000;182;;;;f;f;f;f;f;f;f;f;f;0;0;f;0;39;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:35.49442;FAHIM;299;;;;f;0.00000000;0.00000000;0;f;f;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;;;f;0
137;e262f96d-64f1-482e-926d-3b5403a29f29;PINARB40;;;PEINTURE AEROSOL BLANCHE 40;;;0;1;;f;f;f;1;2;;1;;;;;;;;;;;;265.00000000;0.00000000;0.00000000;265.00000000;20;0;0;0;0;0;0;0.00000000;0.00000000;0.00000000;0.00000000;f;f;f;00000000-0000-0000-0000-000000000000;0.00000000;113;;;;f;f;f;f;f;f;f;f;f;0;0;f;0;35;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:36.406443;FAHIM;293;;;;f;0.00000000;0.00000000;0;f;f;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;;;f;0
667;00f9beea-c58e-4d71-8a8c-192df4923445;000537;;;VISSEUSE PNEUMATIQUE;;p_Lot is null;0;1;;f;f;f;;5;5;;;;;;VISSEUSE PNEUMATIQUE;;;;;;;9000.00000000;0.00000000;0.00000000;9000.00000000;0;0;0;0;0;0;;;;;;f;f;f;00000000-0000-0000-0000-000000000000;0.00000000;589;;;589;f;f;f;f;f;f;f;f;f;0;0;f;0;4;0;0;0;0;0;;;;f;;;2026-05-24 11:08:09.145637;FAHIM;;;88;;;;f;0.00000000;0.00000000;0;f;f;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;, ;"";f;0
449;edc5941b-929a-48ef-aeb2-e4d7edf5d3a3;PSMLAB68;;;PIED METAL LABO  M 68    SOUDEE            ;;;0;3;;f;f;f;2;13;;1;;;;;;;;;;;;3005.32000000;0.00000000;0.00000000;0.00000000;0;0;0;50;0;0;0;0.00000000;0.00000000;4500.00000000;5000.00000000;t;f;f;00000000-0000-0000-0000-000000000000;0.00000000;372;;;;f;f;f;f;f;f;f;f;f;0;0;f;0;0;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:33.043445;FAHIM;291;;;;f;0.00000000;0.00000000;0;f;t;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;;;f;0
786;c15e167f-5980-4ae3-82ef-3a4535a88b95;000647;;;MARQUEUR ;;p_Lot is null;0;1;;f;f;f;;5;;;;;;;MARQUEUR ;;;;;;;100.00000000;0.00000000;0.00000000;100.00000000;0;0;0;0;0;0;;;;;;f;f;f;00000000-0000-0000-0000-000000000000;0.00000000;708;;;708;f;f;f;f;f;f;f;f;f;0;0;f;0;24;0;0;0;0;0;;;;f;;;2026-08-30 15:44:10.214687;FAHIM;;;15;;;;f;0.00000000;0.00000000;0;f;f;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;, ;"";f;0
