Oid;SyncId;Code;Label1;Label2;Parent;Hierarchy;IsMedecine;UnitPacking;CreationDate;CreatedBy;LastModificationDate;ModifiedBy;OptimisticLockField;Private;Root;Usn;Image;Offset;IsLoyalty;LoyaltyRatio;Note;Hide;AccountingCode;WooId;Immobilization;Rate;Company;NextReference
1;3ae85402-a5cf-438a-b543-3093c3514001;;PRODUITS SEMI-FINI;001;;-1-;f;;2024-01-06 14:19:31;;2025-10-12 16:49:40.81843;FAHIM;0;f;1;0;;0;f;0.00000000;;f;;0;f;0;;0
4;54beede9-a7c5-4058-b64d-0d3e2a396112;;TOLE;002-004;2;-2--4-;f;;2024-01-07 20:22:04;;2025-10-12 16:49:40.821174;FAHIM;0;f;2;0;;0;f;0.00000000;;f;;0;f;0;;0
5;6c314039-6546-4989-86f0-3bb13a63ff91;;CANQUAIRIE;002-005;2;-2--5-;f;;2024-01-07 20:23:11;;2025-10-12 16:49:40.821628;FAHIM;0;f;2;0;;0;f;0.00000000;;f;;0;f;0;;0
6;4cb748d6-b19d-4b44-8b51-3ba3cf4d1339;;METAL;002-006;2;-2--6-;f;;2024-01-07 20:23:30;;2025-10-12 16:49:40.821971;FAHIM;0;f;2;0;;0;f;0.00000000;;f;;0;f;0;;0
7;14de1e6c-d2ce-4b8d-ab91-09b367c80da8;;TAPISSAGE ;002-007;2;-2--7-;f;;2024-01-07 20:23:56;;2025-10-12 16:49:40.822274;FAHIM;0;f;2;0;;0;f;0.00000000;;f;;0;f;0;;0
8;0b39d7fd-f703-475b-8642-ccf4629f640b;;PEINTURE;002-008;2;-2--8-;f;;2024-01-07 20:26:23;;2025-10-12 16:49:40.822766;FAHIM;0;f;2;0;;0;f;0.00000000;;f;;0;f;0;;0
9;64c3b1a0-f397-451d-bd1a-9fe42edbf5ca;;MAIN D'OUVRE;002-009;2;-2--9-;f;;2024-01-07 20:28:59;;2025-10-12 16:49:40.823415;FAHIM;0;f;2;0;;0;f;0.00000000;;f;;0;f;0;;0
10;b5fdd619-8615-4c96-a39c-856cecca5ac6;002;PRODUIT FINI;010;;-10-;f;;2024-01-06 14:22:09;;2025-10-12 16:49:40.82447;FAHIM;0;f;10;0;;0;f;0.00000000;;f;;0;f;0;;0
11;961c27fa-f41b-467c-a9e2-ea2a623c30ac;;CACHE JUPES ;010-011;10;-10--11-;f;;2024-01-06 14:19:30;;2025-10-12 16:49:40.82531;FAHIM;0;f;10;0;;0;f;0.00000000;;f;;0;f;0;;0
12;4cd10fef-69e2-4db5-961a-0a536b6d8c08;;CHAISE ;010-012;10;-10--12-;f;;2024-01-06 14:19:30;;2025-10-12 16:49:40.825728;FAHIM;0;f;10;0;;0;f;0.00000000;;f;;0;f;0;;0
13;d30577fb-2507-40cc-86f5-3057fe8e3e57;;PIETEMENTS;010-013;10;-10--13-;f;;2024-01-06 14:19:30;;2025-10-12 16:49:40.826068;FAHIM;0;f;10;0;;0;f;0.00000000;;f;;0;f;0;;0
14;57dadc7d-c21f-43e1-a990-40e757320372;;STRUCTURES;010-014;10;-10--14-;f;;2024-01-06 14:19:31;;2025-10-12 16:49:40.826342;FAHIM;0;f;10;0;;0;f;0.00000000;;f;;0;f;0;;0
15;1c3277f9-84e4-498f-a10d-2fe073f95e00;;MOBILIER BUREAU;010-015;10;-10--15-;f;;2024-01-07 20:27:50;;2025-10-12 16:49:40.831452;FAHIM;0;f;10;0;;0;f;0.00000000;;f;;0;f;0;;0
16;32392239-55e3-4788-ae6d-0cc0f2f94ab8;0012;SERVICES;016;;-16-;f;;2025-01-15 19:24:21;;2025-10-12 16:49:40.831708;FAHIM;0;f;16;0;;0;f;0.00000000;;f;;0;f;0;;0
2;2e094cf4-053e-4afa-9f8b-5b42bb05be76;001;MATIERE PREMIERE;002;;-2-;f;;2024-01-06 14:21:50;;2026-01-07 15:09:51.396489;FAHIM;2;f;2;0;;0;f;0.00000000;;f;;0;f;0;1;0
3;97ef4778-43d2-4ae8-8ac3-5b91488d8732;;PLASTIQUE;002-003;2;-2--3-;f;;2024-01-07 20:21:54;;2026-01-07 15:10:21.052892;FAHIM;3;f;2;0;;0;f;0.00000000;;f;;0;f;0;1;0
17;ac8c3175-6d2a-4917-8f0f-453215d85d7f;000008;BOIS DIVERS;;;-17-;f;;2026-02-11 11:13:34.228247;FAHIM;2026-02-11 11:13:34.370225;FAHIM;3;f;17;0;;0;f;0.00000000;;f;;0;f;0;;0
